drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve,generation_to_suppression
0.15,11.25,10.0,convex,NAN
0.15,12.5,10.0,convex,NAN
0.15,13.75,10.0,convex,NAN
0.15,15.0,10.0,convex,NAN
0.15,16.25,10.0,convex,NAN
0.15,17.5,10.0,convex,NAN
0.15,18.75,10.0,convex,NAN
0.15,2.5,10.0,convex,NAN
0.15,20.0,10.0,convex,NAN
0.15,21.25,10.0,convex,158.900
0.15,22.5,10.0,convex,87.000
0.15,23.75,10.0,convex,69.950
0.15,25.0,10.0,convex,61.800
0.15,3.75,10.0,convex,NAN
0.15,5.0,10.0,convex,NAN
0.15,6.25,10.0,convex,NAN
0.15,7.5,10.0,convex,NAN
0.15,8.75,10.0,convex,NAN
0.2,0.0,10.0,convex,NAN
0.2,1.25,10.0,convex,NAN
0.2,10.0,10.0,convex,NAN
0.2,11.25,10.0,convex,NAN
0.2,12.5,10.0,convex,NAN
0.2,13.75,10.0,convex,NAN
0.2,15.0,10.0,convex,NAN
0.2,16.25,10.0,convex,NAN
0.2,17.5,10.0,convex,NAN
0.2,18.75,10.0,convex,NAN
0.2,2.5,10.0,convex,NAN
0.2,20.0,10.0,convex,157.050
0.2,21.25,10.0,convex,87.650
0.2,22.5,10.0,convex,68.600
0.2,23.75,10.0,convex,60.800
0.2,25.0,10.0,convex,56.050
0.2,3.75,10.0,convex,NAN
0.2,5.0,10.0,convex,NAN
0.2,6.25,10.0,convex,NAN
0.2,7.5,10.0,convex,NAN
0.2,8.75,10.0,convex,NAN
0.25,0.0,10.0,convex,NAN
0.25,1.25,10.0,convex,NAN
0.25,10.0,10.0,convex,NAN
0.25,11.25,10.0,convex,NAN
0.25,12.5,10.0,convex,NAN
0.25,13.75,10.0,convex,NAN
0.25,15.0,10.0,convex,NAN
0.25,16.25,10.0,convex,NAN
0.25,17.5,10.0,convex,NAN
0.25,18.75,10.0,convex,165.150
0.25,2.5,10.0,convex,NAN
0.25,20.0,10.0,convex,86.050
0.25,21.25,10.0,convex,69.400
0.25,22.5,10.0,convex,60.700
0.25,23.75,10.0,convex,55.550
0.25,25.0,10.0,convex,51.800
0.25,3.75,10.0,convex,NAN
0.25,5.0,10.0,convex,NAN
0.25,6.25,10.0,convex,NAN
0.25,7.5,10.0,convex,NAN
0.25,8.75,10.0,convex,NAN
0.3,0.0,10.0,convex,NAN
0.3,1.25,10.0,convex,NAN
0.3,10.0,10.0,convex,NAN
0.3,11.25,10.0,convex,NAN
0.3,12.5,10.0,convex,NAN
0.3,13.75,10.0,convex,NAN
0.3,15.0,10.0,convex,NAN
0.3,16.25,10.0,convex,NAN
0.3,17.5,10.0,convex,165.350
0.3,18.75,10.0,convex,87.000
0.3,2.5,10.0,convex,NAN
0.3,20.0,10.0,convex,69.100
0.3,21.25,10.0,convex,60.550
0.3,22.5,10.0,convex,54.850
0.3,23.75,10.0,convex,51.750
0.3,25.0,10.0,convex,48.500
0.3,3.75,10.0,convex,NAN
0.3,5.0,10.0,convex,NAN
0.3,6.25,10.0,convex,NAN
0.3,7.5,10.0,convex,NAN
0.3,8.75,10.0,convex,NAN
0.35,0.0,10.0,convex,NAN
0.35,1.25,10.0,convex,NAN
0.35,10.0,10.0,convex,NAN
0.35,11.25,10.0,convex,NAN
0.35,12.5,10.0,convex,NAN
0.35,13.75,10.0,convex,NAN
0.35,15.0,10.0,convex,NAN
0.35,16.25,10.0,convex,177.250
0.35,17.5,10.0,convex,86.450
0.35,18.75,10.0,convex,68.000
0.35,2.5,10.0,convex,NAN
0.35,20.0,10.0,convex,60.100
0.35,21.25,10.0,convex,54.700
0.35,22.5,10.0,convex,51.000
0.35,23.75,10.0,convex,48.500
0.35,25.0,10.0,convex,45.750
0.35,3.75,10.0,convex,NAN
0.35,5.0,10.0,convex,NAN
0.35,6.25,10.0,convex,NAN
0.35,7.5,10.0,convex,NAN
0.35,8.75,10.0,convex,NAN
0.4,0.0,10.0,convex,NAN
0.4,1.25,10.0,convex,NAN
0.4,10.0,10.0,convex,NAN
0.4,11.25,10.0,convex,NAN
0.4,12.5,10.0,convex,NAN
0.4,13.75,10.0,convex,NAN
0.4,15.0,10.0,convex,174.500
0.4,16.25,10.0,convex,87.750
0.4,17.5,10.0,convex,67.000
0.4,18.75,10.0,convex,59.250
0.4,2.5,10.0,convex,NAN
0.4,20.0,10.0,convex,54.650
0.4,21.25,10.0,convex,51.050
0.4,22.5,10.0,convex,48.400
0.4,23.75,10.0,convex,45.050
0.4,25.0,10.0,convex,43.150
0.4,3.75,10.0,convex,NAN
0.4,5.0,10.0,convex,NAN
0.4,6.25,10.0,convex,NAN
0.4,7.5,10.0,convex,NAN
0.4,8.75,10.0,convex,NAN
0.45,0.0,10.0,convex,NAN
0.45,1.25,10.0,convex,NAN
0.45,10.0,10.0,convex,NAN
0.45,11.25,10.0,convex,NAN
0.45,12.5,10.0,convex,NAN
0.45,13.75,10.0,convex,172.450
0.45,15.0,10.0,convex,86.650
0.45,16.25,10.0,convex,67.500
0.45,17.5,10.0,convex,59.450
