heterozygotes_survival_rate,resistance_rate,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,generation_to_suppression,type
0.475,0.5,0.05,0.5,6.0,linear,106.850,haplolethal
0.475,0.5,0.1,0.5,6.0,linear,88.450,haplolethal
0.475,0.5,0.15,0.5,6.0,linear,80.200,haplolethal
0.475,0.5,0.2,0.5,6.0,linear,74.450,haplolethal
0.475,0.5,0.25,0.5,6.0,linear,69.650,haplolethal
0.475,0.5,0.3,0.5,6.0,linear,66.900,haplolethal
0.475,0.5,0.35,0.5,6.0,linear,63.550,haplolethal
0.475,0.5,0.4,0.5,6.0,linear,61.750,haplolethal
0.475,0.5,0.45,0.5,6.0,linear,60.300,haplolethal
0.475,0.5,0.5,0.5,6.0,linear,57.800,haplolethal
0.475,0.5,0.55,0.5,6.0,linear,56.500,haplolethal
0.475,0.5,0.6,0.5,6.0,linear,55.350,haplolethal
0.475,0.5,0.65,0.5,6.0,linear,54.050,haplolethal
0.475,0.5,0.7,0.5,6.0,linear,53.200,haplolethal
